"";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"Collector"
"82";5,8;2,8;5,1;2,4;"virginica";"Ollie Tabooger"
"83";5,6;2,5;3,9;1,1;"versicolor";"Ollie Tabooger"
"84";5,5;3,5;1,3;0,2;"setosa";"Ollie Tabooger"
"85";6,7;3,1;5,6;2,4;"virginica";"Ollie Tabooger"
"86";6,2;3,4;5,4;2,3;"virginica";"Ollie Tabooger"
"87";5;3,6;1,4;0,2;"setosa";"Ollie Tabooger"
"88";7;3,2;4,7;1,4;"versicolor";"Ollie Tabooger"
"89";6,9;3,1;5,4;2,1;"virginica";"Ollie Tabooger"
"90";6,6;2,9;4,6;1,3;"versicolor";"Ollie Tabooger"
"91";4,9;3,1;1,5;0,1;"setosa";"Ollie Tabooger"
"92";5,5;4,2;1,4;0,2;"setosa";"Ollie Tabooger"
"93";4,9;3,6;1,4;0,1;"setosa";"Ollie Tabooger"
"94";6,8;3,2;5,9;2,3;"virginica";"Ollie Tabooger"
"95";6,8;3,2;5,9;2,3;"virginica";"Ollie Tabooger"
"96";6,2;3,4;5,4;2,3;"virginica";"Ollie Tabooger"
"97";6,5;3;5,5;1,8;"virginica";"Ollie Tabooger"
"98";4,8;3;1,4;0,1;"setosa";"Ollie Tabooger"
"99";5,1;3,8;1,9;0,4;"setosa";"Ollie Tabooger"
"100";4,4;3,2;1,3;0,2;"setosa";"Ollie Tabooger"
"101";4,9;2,4;3,3;1;"versicolor";"Ollie Tabooger"
"102";6,6;2,9;4,6;1,3;"versicolor";"Ollie Tabooger"
"103";5,6;3;4,1;1,3;"versicolor";"Ollie Tabooger"
"104";7,7;3,8;6,7;2,2;"virginica";"Ollie Tabooger"
"105";6,2;2,2;4,5;1,5;"versicolor";"Ollie Tabooger"
"106";6;2,7;5,1;1,6;"versicolor";"Ollie Tabooger"
"107";6,2;2,8;4,8;1,8;"virginica";"Ollie Tabooger"
"108";6,3;3,3;6;2,5;"virginica";"Ollie Tabooger"
"109";5,8;2,7;5,1;1,9;"virginica";"Ollie Tabooger"
"110";6,3;3,3;6;2,5;"virginica";"Ollie Tabooger"
"111";4,6;3,4;1,4;0,3;"setosa";"Ollie Tabooger"
"112";5;3,5;1,3;0,3;"setosa";"Ollie Tabooger"
"113";5,1;3,7;1,5;0,4;"setosa";"Ollie Tabooger"
"114";4,4;3,2;1,3;0,2;"setosa";"Ollie Tabooger"
"115";4,4;3,2;1,3;0,2;"setosa";"Ollie Tabooger"
"116";6,7;3,1;5,6;2,4;"virginica";"Ollie Tabooger"
"117";5;3,2;1,2;0,2;"setosa";"Ollie Tabooger"
"118";5,3;3,7;1,5;0,2;"setosa";"Ollie Tabooger"
"119";6,8;3;5,5;2,1;"virginica";"Ollie Tabooger"
"120";4,9;3,6;1,4;0,1;"setosa";"Ollie Tabooger"
"121";6,3;2,5;4,9;1,5;"versicolor";"Ollie Tabooger"
"122";6,3;2,3;4,4;1,3;"versicolor";"Ollie Tabooger"
"123";6,2;3,4;5,4;2,3;"virginica";"Ollie Tabooger"
"124";5;2,3;3,3;1;"versicolor";"Ollie Tabooger"
"125";5,9;3;5,1;1,8;"virginica";"Ollie Tabooger"
"126";4,9;3,6;1,4;0,1;"setosa";"Ollie Tabooger"
"127";7,7;2,8;6,7;2;"virginica";"Ollie Tabooger"
"128";6,4;2,8;5,6;2,1;"virginica";"Ollie Tabooger"
"129";5,4;3,4;1,5;0,4;"setosa";"Ollie Tabooger"
"130";6,3;2,5;4,9;1,5;"versicolor";"Ollie Tabooger"
"131";4,9;3,1;1,5;0,2;"setosa";"Ollie Tabooger"
"132";4,9;2,5;4,5;1,7;"virginica";"Ollie Tabooger"
"133";5,4;3,9;1,3;0,4;"setosa";"Ollie Tabooger"
"134";6,6;2,9;4,6;1,3;"versicolor";"Ollie Tabooger"
"135";5,7;2,8;4,1;1,3;"versicolor";"Ollie Tabooger"
"136";5;3,4;1,6;0,4;"setosa";"Ollie Tabooger"
"137";7,2;3,6;6,1;2,5;"virginica";"Ollie Tabooger"
"138";6,8;3,2;5,9;2,3;"virginica";"Ollie Tabooger"
"139";6,1;2,8;4,7;1,2;"versicolor";"Ollie Tabooger"
"140";5,5;2,4;3,7;1;"versicolor";"Ollie Tabooger"
"141";4,3;3;1,1;0,1;"setosa";"Ollie Tabooger"
"142";5;3,2;1,2;0,2;"setosa";"Ollie Tabooger"
"143";6;2,7;5,1;1,6;"versicolor";"Ollie Tabooger"
"144";4,6;3,6;1;0,2;"setosa";"Ollie Tabooger"
"145";4,8;3;1,4;0,1;"setosa";"Ollie Tabooger"
"146";5,7;2,9;4,2;1,3;"versicolor";"Ollie Tabooger"
"147";5,1;3,5;1,4;0,3;"setosa";"Ollie Tabooger"
"148";4,6;3,1;1,5;0,2;"setosa";"Ollie Tabooger"
"149";7,7;2,8;6,7;2;"virginica";"Ollie Tabooger"
"150";5;3,5;1,3;0,3;"setosa";"Ollie Tabooger"
"151";6,2;2,8;4,8;1,8;"virginica";"Ollie Tabooger"
"152";7,7;3,8;6,7;2,2;"virginica";"Ollie Tabooger"
"153";6,5;3;5,5;1,8;"virginica";"Ollie Tabooger"
"154";6,1;2,8;4,7;1,2;"versicolor";"Ollie Tabooger"
"155";4,9;2,4;3,3;1;"versicolor";"Ollie Tabooger"
"156";5,8;2,7;5,1;1,9;"virginica";"Ollie Tabooger"
"157";5,1;3,4;1,5;0,2;"setosa";"Ollie Tabooger"
"158";6,6;2,9;4,6;1,3;"versicolor";"Ollie Tabooger"
"159";5;3,4;1,6;0,4;"setosa";"Ollie Tabooger"
"160";5,9;3;5,1;1,8;"virginica";"Ollie Tabooger"
"161";6,5;3;5,5;1,8;"virginica";"Ollie Tabooger"
"162";4,8;3;1,4;0,3;"setosa";"Ollie Tabooger"
"163";4,3;3;1,1;0,1;"setosa";"Ollie Tabooger"
"164";5;3,2;1,2;0,2;"setosa";"Ollie Tabooger"
"165";5,6;3;4,5;1,5;"versicolor";"Ollie Tabooger"
"166";6,4;2,7;5,3;1,9;"virginica";"Ollie Tabooger"
"167";6,4;2,9;4,3;1,3;"versicolor";"Ollie Tabooger"
"168";5;3,4;1,6;0,4;"setosa";"Ollie Tabooger"
"169";6,3;2,8;5,1;1,5;"virginica";"Ollie Tabooger"
"170";7,4;2,8;6,1;1,9;"virginica";"Ollie Tabooger"
"171";5,4;3,9;1,3;0,4;"setosa";"Ollie Tabooger"
"172";6,1;3;4,9;1,8;"virginica";"Ollie Tabooger"
"173";7,3;2,9;6,3;1,8;"virginica";"Ollie Tabooger"
"174";6,7;3,3;5,7;2,5;"virginica";"Ollie Tabooger"
"175";6,9;3,1;5,4;2,1;"virginica";"Ollie Tabooger"
"176";6,5;2,8;4,6;1,5;"versicolor";"Ollie Tabooger"
"177";4,9;2,4;3,3;1;"versicolor";"Ollie Tabooger"
"178";4,7;3,2;1,6;0,2;"setosa";"Ollie Tabooger"
"179";7,9;3,8;6,4;2;"virginica";"Ollie Tabooger"
"180";6,4;2,9;4,3;1,3;"versicolor";"Ollie Tabooger"
"181";6,1;3;4,6;1,4;"versicolor";"Ollie Tabooger"
"182";5,7;2,9;4,2;1,3;"versicolor";"Ollie Tabooger"
"183";4,9;3,6;1,4;0,1;"setosa";"Ollie Tabooger"
"184";5,9;3;4,2;1,5;"versicolor";"Ollie Tabooger"
"185";6,5;3;5,2;2;"virginica";"Ollie Tabooger"
"186";5,5;2,4;3,7;1;"versicolor";"Ollie Tabooger"
"187";5,1;3,8;1,6;0,2;"setosa";"Ollie Tabooger"
