"";"X";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"Collector";"Sepal.Length.trans"
"88";14;5,8;2,8;5,1;2,4;"virginica";"Ima Weiner";1,392
"89";15;5;3,4;1,5;0,2;"setosa";"Ima Weiner";1,2
"90";16;6,6;3;4,4;1,4;"versicolor";"Ima Weiner";1,584
"91";17;6;2,7;5,1;1,6;"versicolor";"Ima Weiner";1,44
"92";18;5,7;4,4;1,5;0,4;"setosa";"Ima Weiner";1,368
"93";19;6,8;3;5,5;2,1;"virginica";"Ima Weiner";1,632
"94";20;7;3,2;4,7;1,4;"versicolor";"Ima Weiner";1,68
"95";21;5,8;2,7;3,9;1,2;"versicolor";"Ima Weiner";1,392
"96";22;6,2;2,2;4,5;1,5;"versicolor";"Ima Weiner";1,488
"97";23;4,6;3,2;1,4;0,2;"setosa";"Ima Weiner";1,104
"98";24;6;2,9;4,5;1,5;"versicolor";"Ima Weiner";1,44
"99";25;4,6;3,4;1,4;0,3;"setosa";"Ima Weiner";1,104
"100";26;6;2,2;5;1,5;"virginica";"Ima Weiner";1,44
"101";27;5,9;3;4,2;1,5;"versicolor";"Ima Weiner";1,416
"102";28;5,1;3,8;1,5;0,3;"setosa";"Ima Weiner";1,224
"103";29;6,5;3;5,8;2,2;"virginica";"Ima Weiner";1,56
"104";30;5,1;3,5;1,4;0,2;"setosa";"Ima Weiner";1,224
"105";31;5,9;3,2;4,8;1,8;"versicolor";"Ima Weiner";1,416
"106";32;5,9;3,2;4,8;1,8;"versicolor";"Ima Weiner";1,416
"107";33;5,1;3,4;1,5;0,2;"setosa";"Ima Weiner";1,224
"108";34;5,7;4,4;1,5;0,4;"setosa";"Ima Weiner";1,368
"109";35;6,9;3,2;5,7;2,3;"virginica";"Ima Weiner";1,656
"110";36;5,1;2,5;3;1,1;"versicolor";"Ima Weiner";1,224
"111";37;5,7;2,8;4,5;1,3;"versicolor";"Ima Weiner";1,368
"112";38;5,5;2,4;3,8;1,1;"versicolor";"Ima Weiner";1,32
"113";39;6,4;2,8;5,6;2,2;"virginica";"Ima Weiner";1,536
"114";40;5,1;3,5;1,4;0,2;"setosa";"Ima Weiner";1,224
"115";41;5,7;4,4;1,5;0,4;"setosa";"Ima Weiner";1,368
"116";42;5,4;3,7;1,5;0,2;"setosa";"Ima Weiner";1,296
"117";43;5,8;2,6;4;1,2;"versicolor";"Ima Weiner";1,392
"118";44;4,6;3,4;1,4;0,3;"setosa";"Ima Weiner";1,104
"119";45;5,5;2,6;4,4;1,2;"versicolor";"Ima Weiner";1,32
"120";46;7,3;2,9;6,3;1,8;"virginica";"Ima Weiner";1,752
"121";47;5,8;2,8;5,1;2,4;"virginica";"Ima Weiner";1,392
"122";48;5,5;2,4;3,8;1,1;"versicolor";"Ima Weiner";1,32
"123";49;6,4;2,8;5,6;2,1;"virginica";"Ima Weiner";1,536
"124";50;6,8;2,8;4,8;1,4;"versicolor";"Ima Weiner";1,632
"125";51;5,8;4;1,2;0,2;"setosa";"Ima Weiner";1,392
"126";52;6,2;3,4;5,4;2,3;"virginica";"Ima Weiner";1,488
"127";1;6,7;3,1;5,6;2,4;"virginica";"Olaf Maifrend-Sergei";1,608
"128";2;7;3,2;4,7;1,4;"versicolor";"Olaf Maifrend-Sergei";1,68
"129";3;5;3,5;1,3;0,3;"setosa";"Olaf Maifrend-Sergei";1,2
"130";4;5,8;2,7;4,1;1;"versicolor";"Olaf Maifrend-Sergei";1,392
"131";5;4,8;3,1;1,6;0,2;"setosa";"Olaf Maifrend-Sergei";1,152
"132";6;6;2,9;4,5;1,5;"versicolor";"Olaf Maifrend-Sergei";1,44
"133";7;5,7;2,8;4,5;1,3;"versicolor";"Olaf Maifrend-Sergei";1,368
"134";8;5;3,6;1,4;0,2;"setosa";"Olaf Maifrend-Sergei";1,2
"135";9;5;3,3;1,4;0,2;"setosa";"Olaf Maifrend-Sergei";1,2
"136";10;6,5;3;5,8;2,2;"virginica";"Olaf Maifrend-Sergei";1,56
"137";11;6,7;3,3;5,7;2,5;"virginica";"Olaf Maifrend-Sergei";1,608
"138";12;6;3,4;4,5;1,6;"versicolor";"Olaf Maifrend-Sergei";1,44
"139";13;6,7;3,3;5,7;2,1;"virginica";"Olaf Maifrend-Sergei";1,608
"140";14;6;2,7;5,1;1,6;"versicolor";"Olaf Maifrend-Sergei";1,44
"141";15;5,1;3,5;1,4;0,3;"setosa";"Olaf Maifrend-Sergei";1,224
"142";16;6,9;3,2;5,7;2,3;"virginica";"Olaf Maifrend-Sergei";1,656
"143";17;5,9;3;4,2;1,5;"versicolor";"Olaf Maifrend-Sergei";1,416
"144";18;5;3,4;1,6;0,4;"setosa";"Olaf Maifrend-Sergei";1,2
"145";19;5;3;1,6;0,2;"setosa";"Olaf Maifrend-Sergei";1,2
"146";20;5,7;2,5;5;2;"virginica";"Olaf Maifrend-Sergei";1,368
"147";21;5,5;2,4;3,7;1;"versicolor";"Olaf Maifrend-Sergei";1,32
"148";22;6,4;2,9;4,3;1,3;"versicolor";"Olaf Maifrend-Sergei";1,536
"149";23;6,2;2,8;4,8;1,8;"virginica";"Olaf Maifrend-Sergei";1,488
"150";24;6,3;2,8;5,1;1,5;"virginica";"Olaf Maifrend-Sergei";1,512
"151";25;5;2;3,5;1;"versicolor";"Olaf Maifrend-Sergei";1,2
"152";26;5,7;3,8;1,7;0,3;"setosa";"Olaf Maifrend-Sergei";1,368
"153";27;6,7;3,1;4,4;1,4;"versicolor";"Olaf Maifrend-Sergei";1,608
"154";28;6,4;2,8;5,6;2,1;"virginica";"Olaf Maifrend-Sergei";1,536
"155";29;5,5;2,6;4,4;1,2;"versicolor";"Olaf Maifrend-Sergei";1,32
"156";30;6,1;2,9;4,7;1,4;"versicolor";"Olaf Maifrend-Sergei";1,464
"157";31;5,8;2,7;5,1;1,9;"virginica";"Olaf Maifrend-Sergei";1,392
"158";32;6,3;3,3;6;2,5;"virginica";"Olaf Maifrend-Sergei";1,512
"159";33;5,7;3;4,2;1,2;"versicolor";"Olaf Maifrend-Sergei";1,368
"160";34;7,7;3;6,1;2,3;"virginica";"Olaf Maifrend-Sergei";1,848
"161";35;5,9;3,2;4,8;1,8;"versicolor";"Olaf Maifrend-Sergei";1,416
"162";36;6,9;3,1;5,4;2,1;"virginica";"Olaf Maifrend-Sergei";1,656
"163";37;5,6;2,5;3,9;1,1;"versicolor";"Olaf Maifrend-Sergei";1,344
"164";38;6,4;2,8;5,6;2,1;"virginica";"Olaf Maifrend-Sergei";1,536
"165";39;6,4;2,7;5,3;1,9;"virginica";"Olaf Maifrend-Sergei";1,536
"166";40;5,5;2,3;4;1,3;"versicolor";"Olaf Maifrend-Sergei";1,32
"167";41;5,9;3;5,1;1,8;"virginica";"Olaf Maifrend-Sergei";1,416
"168";42;4,6;3,4;1,4;0,3;"setosa";"Olaf Maifrend-Sergei";1,104
"169";43;6;3;4,8;1,8;"virginica";"Olaf Maifrend-Sergei";1,44
"170";44;5,3;3,7;1,5;0,2;"setosa";"Olaf Maifrend-Sergei";1,272
"171";45;5,6;2,8;4,9;2;"virginica";"Olaf Maifrend-Sergei";1,344
"172";46;6,1;2,8;4;1,3;"versicolor";"Olaf Maifrend-Sergei";1,464
"173";47;5,2;2,7;3,9;1,4;"versicolor";"Olaf Maifrend-Sergei";1,248
"174";48;5,2;4,1;1,5;0,1;"setosa";"Olaf Maifrend-Sergei";1,248
"175";49;6,1;2,6;5,6;1,4;"virginica";"Olaf Maifrend-Sergei";1,464
"176";50;4,9;3;1,4;0,2;"setosa";"Olaf Maifrend-Sergei";1,176
"177";51;6,4;3,2;4,5;1,5;"versicolor";"Olaf Maifrend-Sergei";1,536
"178";52;5,2;4,1;1,5;0,1;"setosa";"Olaf Maifrend-Sergei";1,248
"179";53;5,6;2,8;4,9;2;"virginica";"Olaf Maifrend-Sergei";1,344
"180";54;4,8;3;1,4;0,3;"setosa";"Olaf Maifrend-Sergei";1,152
"181";55;6,4;2,8;5,6;2,1;"virginica";"Olaf Maifrend-Sergei";1,536
"182";56;5,4;3,4;1,7;0,2;"setosa";"Olaf Maifrend-Sergei";1,296
"183";57;5,5;2,4;3,8;1,1;"versicolor";"Olaf Maifrend-Sergei";1,32
"184";58;5,8;2,6;4;1,2;"versicolor";"Olaf Maifrend-Sergei";1,392
"185";59;6,3;2,8;5,1;1,5;"virginica";"Olaf Maifrend-Sergei";1,512
"186";60;5,5;2,4;3,7;1;"versicolor";"Olaf Maifrend-Sergei";1,32
"187";61;5;3;1,6;0,2;"setosa";"Olaf Maifrend-Sergei";1,2
"188";62;6,7;3,1;4,7;1,5;"versicolor";"Olaf Maifrend-Sergei";1,608
"189";63;6,4;2,8;5,6;2,2;"virginica";"Olaf Maifrend-Sergei";1,536
"190";64;6,5;2,8;4,6;1,5;"versicolor";"Olaf Maifrend-Sergei";1,56
"191";65;5,6;2,5;3,9;1,1;"versicolor";"Olaf Maifrend-Sergei";1,344
"192";66;6,4;2,8;5,6;2,1;"virginica";"Olaf Maifrend-Sergei";1,536
"193";67;5,4;3,4;1,7;0,2;"setosa";"Olaf Maifrend-Sergei";1,296
"194";68;5,1;3,5;1,4;0,2;"setosa";"Olaf Maifrend-Sergei";1,224
"195";69;5,4;3,4;1,5;0,4;"setosa";"Olaf Maifrend-Sergei";1,296
"196";70;5,2;2,7;3,9;1,4;"versicolor";"Olaf Maifrend-Sergei";1,248
"197";71;6,6;2,9;4,6;1,3;"versicolor";"Olaf Maifrend-Sergei";1,584
"198";72;5;3,5;1,3;0,3;"setosa";"Olaf Maifrend-Sergei";1,2
"199";73;7,2;3,2;6;1,8;"virginica";"Olaf Maifrend-Sergei";1,728
"200";74;6,1;3;4,6;1,4;"versicolor";"Olaf Maifrend-Sergei";1,464
"201";75;5;3,3;1,4;0,2;"setosa";"Olaf Maifrend-Sergei";1,2
"202";76;4,8;3,1;1,6;0,2;"setosa";"Olaf Maifrend-Sergei";1,152
"203";77;6,7;3,1;4,4;1,4;"versicolor";"Olaf Maifrend-Sergei";1,608
"204";78;7,1;3;5,9;2,1;"virginica";"Olaf Maifrend-Sergei";1,704
"205";79;5,9;3;4,2;1,5;"versicolor";"Olaf Maifrend-Sergei";1,416
"206";80;6,8;2,8;4,8;1,4;"versicolor";"Olaf Maifrend-Sergei";1,632
"207";81;5;3,4;1,5;0,2;"setosa";"Olaf Maifrend-Sergei";1,2
"208";82;6,7;3,1;5,6;2,4;"virginica";"Olaf Maifrend-Sergei";1,608
"209";83;4,9;3,1;1,5;0,1;"setosa";"Olaf Maifrend-Sergei";1,176
"210";84;5,9;3;5,1;1,8;"virginica";"Olaf Maifrend-Sergei";1,416
"211";85;6,3;2,5;5;1,9;"virginica";"Olaf Maifrend-Sergei";1,512
"212";86;5,5;4,2;1,4;0,2;"setosa";"Olaf Maifrend-Sergei";1,32
"213";87;5,7;2,8;4,1;1,3;"versicolor";"Olaf Maifrend-Sergei";1,368
"214";88;5,6;3;4,5;1,5;"versicolor";"Olaf Maifrend-Sergei";1,344
"215";89;5;3;1,6;0,2;"setosa";"Olaf Maifrend-Sergei";1,2
"216";90;5,6;2,9;3,6;1,3;"versicolor";"Olaf Maifrend-Sergei";1,344
"217";91;6,2;2,2;4,5;1,5;"versicolor";"Olaf Maifrend-Sergei";1,488
"218";92;5,1;3,8;1,6;0,2;"setosa";"Olaf Maifrend-Sergei";1,224
"219";93;5,7;3,8;1,7;0,3;"setosa";"Olaf Maifrend-Sergei";1,368
"220";94;6,1;3;4,6;1,4;"versicolor";"Olaf Maifrend-Sergei";1,464
"221";95;5,7;3;4,2;1,2;"versicolor";"Olaf Maifrend-Sergei";1,368
"222";96;5,1;3,5;1,4;0,3;"setosa";"Olaf Maifrend-Sergei";1,224
"223";97;7,6;3;6,6;2,1;"virginica";"Olaf Maifrend-Sergei";1,824
"224";98;4,7;3,2;1,6;0,2;"setosa";"Olaf Maifrend-Sergei";1,128
"225";99;4,9;2,4;3,3;1;"versicolor";"Olaf Maifrend-Sergei";1,176
"226";100;5,9;3;4,2;1,5;"versicolor";"Olaf Maifrend-Sergei";1,416
"227";101;6,7;3,3;5,7;2,5;"virginica";"Olaf Maifrend-Sergei";1,608
"228";102;5,1;3,8;1,6;0,2;"setosa";"Olaf Maifrend-Sergei";1,224
"229";103;4,8;3,1;1,6;0,2;"setosa";"Olaf Maifrend-Sergei";1,152
"230";104;5;3;1,6;0,2;"setosa";"Olaf Maifrend-Sergei";1,2
"231";105;5,8;2,7;4,1;1;"versicolor";"Olaf Maifrend-Sergei";1,392
"232";1;5,4;3,9;1,3;0,4;"setosa";"Ollie Tabooger";1,296
"233";2;5,1;2,5;3;1,1;"versicolor";"Ollie Tabooger";1,224
"234";3;6;2,2;4;1;"versicolor";"Ollie Tabooger";1,44
"235";4;6,1;2,8;4,7;1,2;"versicolor";"Ollie Tabooger";1,464
"236";5;5,6;3;4,1;1,3;"versicolor";"Ollie Tabooger";1,344
"237";6;6,7;3,1;4,4;1,4;"versicolor";"Ollie Tabooger";1,608
"238";7;4,9;3,1;1,5;0,1;"setosa";"Ollie Tabooger";1,176
"239";8;5,8;2,7;5,1;1,9;"virginica";"Ollie Tabooger";1,392
"240";9;5,9;3,2;4,8;1,8;"versicolor";"Ollie Tabooger";1,416
"241";10;4,7;3,2;1,3;0,2;"setosa";"Ollie Tabooger";1,128
"242";11;5,5;2,3;4;1,3;"versicolor";"Ollie Tabooger";1,32
"243";12;6,9;3,1;4,9;1,5;"versicolor";"Ollie Tabooger";1,656
"244";13;6,8;3,2;5,9;2,3;"virginica";"Ollie Tabooger";1,632
"245";14;5,8;4;1,2;0,2;"setosa";"Ollie Tabooger";1,392
"246";15;4,9;3,1;1,5;0,2;"setosa";"Ollie Tabooger";1,176
"247";16;5;3,5;1,3;0,3;"setosa";"Ollie Tabooger";1,2
"248";17;6,4;3,1;5,5;1,8;"virginica";"Ollie Tabooger";1,536
"249";18;5,6;3;4,5;1,5;"versicolor";"Ollie Tabooger";1,344
"250";19;6,2;2,9;4,3;1,3;"versicolor";"Ollie Tabooger";1,488
"251";20;7,6;3;6,6;2,1;"virginica";"Ollie Tabooger";1,824
"252";21;5,1;3,4;1,5;0,2;"setosa";"Ollie Tabooger";1,224
"253";22;6,2;2,9;4,3;1,3;"versicolor";"Ollie Tabooger";1,488
"254";23;6,2;2,8;4,8;1,8;"virginica";"Ollie Tabooger";1,488
"255";24;5;3;1,6;0,2;"setosa";"Ollie Tabooger";1,2
"256";25;5,7;2,9;4,2;1,3;"versicolor";"Ollie Tabooger";1,368
"257";26;7,6;3;6,6;2,1;"virginica";"Ollie Tabooger";1,824
"258";27;5,5;3,5;1,3;0,2;"setosa";"Ollie Tabooger";1,32
"259";28;6,9;3,1;5,4;2,1;"virginica";"Ollie Tabooger";1,656
"260";29;4,6;3,4;1,4;0,3;"setosa";"Ollie Tabooger";1,104
"261";30;5,1;2,5;3;1,1;"versicolor";"Ollie Tabooger";1,224
"262";31;5,1;3,8;1,5;0,3;"setosa";"Ollie Tabooger";1,224
"263";32;4,9;2,5;4,5;1,7;"virginica";"Ollie Tabooger";1,176
"264";33;5,9;3,2;4,8;1,8;"versicolor";"Ollie Tabooger";1,416
"265";34;5,8;4;1,2;0,2;"setosa";"Ollie Tabooger";1,392
"266";35;5,5;2,5;4;1,3;"versicolor";"Ollie Tabooger";1,32
"267";36;6,7;3,3;5,7;2,5;"virginica";"Ollie Tabooger";1,608
"268";37;5,1;3,8;1,9;0,4;"setosa";"Ollie Tabooger";1,224
"269";38;5,7;2,6;3,5;1;"versicolor";"Ollie Tabooger";1,368
"270";39;5,5;2,5;4;1,3;"versicolor";"Ollie Tabooger";1,32
"271";40;6,5;3;5,8;2,2;"virginica";"Ollie Tabooger";1,56
"272";41;5,1;3,8;1,9;0,4;"setosa";"Ollie Tabooger";1,224
"273";42;5;2,3;3,3;1;"versicolor";"Ollie Tabooger";1,2
"274";43;5,4;3;4,5;1,5;"versicolor";"Ollie Tabooger";1,296
"275";44;5,5;2,4;3,7;1;"versicolor";"Ollie Tabooger";1,32
"276";45;5,4;3,4;1,5;0,4;"setosa";"Ollie Tabooger";1,296
"277";46;6,3;3,3;4,7;1,6;"versicolor";"Ollie Tabooger";1,512
"278";47;5,8;2,7;3,9;1,2;"versicolor";"Ollie Tabooger";1,392
"279";48;4,6;3,1;1,5;0,2;"setosa";"Ollie Tabooger";1,104
"280";49;6;2,2;4;1;"versicolor";"Ollie Tabooger";1,44
"281";50;7,4;2,8;6,1;1,9;"virginica";"Ollie Tabooger";1,776
"282";51;4,8;3,4;1,9;0,2;"setosa";"Ollie Tabooger";1,152
"283";52;5,6;2,7;4,2;1,3;"versicolor";"Ollie Tabooger";1,344
"284";53;5,5;4,2;1,4;0,2;"setosa";"Ollie Tabooger";1,32
"285";54;6,1;3;4,9;1,8;"virginica";"Ollie Tabooger";1,464
"286";55;6,8;2,8;4,8;1,4;"versicolor";"Ollie Tabooger";1,632
"287";56;4,8;3,1;1,6;0,2;"setosa";"Ollie Tabooger";1,152
"288";57;6,4;2,8;5,6;2,1;"virginica";"Ollie Tabooger";1,536
"289";58;4,8;3,4;1,6;0,2;"setosa";"Ollie Tabooger";1,152
"290";59;4,8;3,1;1,6;0,2;"setosa";"Ollie Tabooger";1,152
"291";60;5,3;3,7;1,5;0,2;"setosa";"Ollie Tabooger";1,272
"292";61;5,2;4,1;1,5;0,1;"setosa";"Ollie Tabooger";1,248
"293";62;6,8;2,8;4,8;1,4;"versicolor";"Ollie Tabooger";1,632
"294";63;4,7;3,2;1,6;0,2;"setosa";"Ollie Tabooger";1,128
"295";64;5,6;2,5;3,9;1,1;"versicolor";"Ollie Tabooger";1,344
"296";65;6,3;2,3;4,4;1,3;"versicolor";"Ollie Tabooger";1,512
"297";66;5,1;3,8;1,9;0,4;"setosa";"Ollie Tabooger";1,224
"298";67;5,8;4;1,2;0,2;"setosa";"Ollie Tabooger";1,392
"299";68;5,4;3,9;1,3;0,4;"setosa";"Ollie Tabooger";1,296
"300";69;4,9;3,6;1,4;0,1;"setosa";"Ollie Tabooger";1,176
"301";70;5,5;2,6;4,4;1,2;"versicolor";"Ollie Tabooger";1,32
"302";71;6,1;3;4,6;1,4;"versicolor";"Ollie Tabooger";1,464
"303";72;5,4;3,4;1,7;0,2;"setosa";"Ollie Tabooger";1,296
"304";73;5,7;4,4;1,5;0,4;"setosa";"Ollie Tabooger";1,368
"305";74;5,7;2,9;4,2;1,3;"versicolor";"Ollie Tabooger";1,368
"306";75;5,2;4,1;1,5;0,1;"setosa";"Ollie Tabooger";1,248
"307";76;6,4;2,7;5,3;1,9;"virginica";"Ollie Tabooger";1,536
"308";77;5;3,5;1,3;0,3;"setosa";"Ollie Tabooger";1,2
"309";78;5;3,5;1,3;0,3;"setosa";"Ollie Tabooger";1,2
"310";79;4,5;2,3;1,3;0,3;"setosa";"Ollie Tabooger";1,08
"311";80;5,4;3,4;1,7;0,2;"setosa";"Ollie Tabooger";1,296
"312";81;6,8;3;5,5;2,1;"virginica";"Ollie Tabooger";1,632
"313";82;5,8;2,8;5,1;2,4;"virginica";"Ollie Tabooger";1,392
"314";83;5,6;2,5;3,9;1,1;"versicolor";"Ollie Tabooger";1,344
"315";84;5,5;3,5;1,3;0,2;"setosa";"Ollie Tabooger";1,32
"316";85;6,7;3,1;5,6;2,4;"virginica";"Ollie Tabooger";1,608
"317";86;6,2;3,4;5,4;2,3;"virginica";"Ollie Tabooger";1,488
"318";87;5;3,6;1,4;0,2;"setosa";"Ollie Tabooger";1,2
"319";88;7;3,2;4,7;1,4;"versicolor";"Ollie Tabooger";1,68
"320";89;6,9;3,1;5,4;2,1;"virginica";"Ollie Tabooger";1,656
"321";90;6,6;2,9;4,6;1,3;"versicolor";"Ollie Tabooger";1,584
"322";91;4,9;3,1;1,5;0,1;"setosa";"Ollie Tabooger";1,176
"323";92;5,5;4,2;1,4;0,2;"setosa";"Ollie Tabooger";1,32
"324";93;4,9;3,6;1,4;0,1;"setosa";"Ollie Tabooger";1,176
"325";94;6,8;3,2;5,9;2,3;"virginica";"Ollie Tabooger";1,632
"326";95;6,8;3,2;5,9;2,3;"virginica";"Ollie Tabooger";1,632
"327";96;6,2;3,4;5,4;2,3;"virginica";"Ollie Tabooger";1,488
"328";97;6,5;3;5,5;1,8;"virginica";"Ollie Tabooger";1,56
"329";98;4,8;3;1,4;0,1;"setosa";"Ollie Tabooger";1,152
"330";99;5,1;3,8;1,9;0,4;"setosa";"Ollie Tabooger";1,224
"331";100;4,4;3,2;1,3;0,2;"setosa";"Ollie Tabooger";1,056
