"";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"Collector"
"84";5,9;3;5,1;1,8;"virginica";"Olaf Maifrend-Sergei"
"85";6,3;2,5;5;1,9;"virginica";"Olaf Maifrend-Sergei"
"86";5,5;4,2;1,4;0,2;"setosa";"Olaf Maifrend-Sergei"
"87";5,7;2,8;4,1;1,3;"versicolor";"Olaf Maifrend-Sergei"
"88";5,6;3;4,5;1,5;"versicolor";"Olaf Maifrend-Sergei"
"89";5;3;1,6;0,2;"setosa";"Olaf Maifrend-Sergei"
"90";5,6;2,9;3,6;1,3;"versicolor";"Olaf Maifrend-Sergei"
"91";6,2;2,2;4,5;1,5;"versicolor";"Olaf Maifrend-Sergei"
"92";5,1;3,8;1,6;0,2;"setosa";"Olaf Maifrend-Sergei"
"93";5,7;3,8;1,7;0,3;"setosa";"Olaf Maifrend-Sergei"
"94";6,1;3;4,6;1,4;"versicolor";"Olaf Maifrend-Sergei"
"95";5,7;3;4,2;1,2;"versicolor";"Olaf Maifrend-Sergei"
"96";5,1;3,5;1,4;0,3;"setosa";"Olaf Maifrend-Sergei"
"97";7,6;3;6,6;2,1;"virginica";"Olaf Maifrend-Sergei"
"98";4,7;3,2;1,6;0,2;"setosa";"Olaf Maifrend-Sergei"
"99";4,9;2,4;3,3;1;"versicolor";"Olaf Maifrend-Sergei"
"100";5,9;3;4,2;1,5;"versicolor";"Olaf Maifrend-Sergei"
"101";6,7;3,3;5,7;2,5;"virginica";"Olaf Maifrend-Sergei"
"102";5,1;3,8;1,6;0,2;"setosa";"Olaf Maifrend-Sergei"
"103";4,8;3,1;1,6;0,2;"setosa";"Olaf Maifrend-Sergei"
"104";5;3;1,6;0,2;"setosa";"Olaf Maifrend-Sergei"
"105";5,8;2,7;4,1;1;"versicolor";"Olaf Maifrend-Sergei"
